name,final rank,Bronze Star,Citation Star,Civil War Campaign Medal,Companion Of The Order Of The Bath (United Kingdom),Croix de Guerre,Cuban Pacification Medal,Czechoslovak War Cross 1918,Distinguished Service Cross,Distinguished Service Medal,French Legion Of Honor (Commander),Grand Cordon of the Order of the Sacred Treasure,Honorary Knight Commande,Indian Campaign Medal,Legion of Honor,Legion of Merit,Medal of Honor,Medal of Military Merit,Mexican Border Service Medal,Nan,Navy Cross,Oak Leaf Cluster,Order Of Leopold Ii (Belgium),Order Of The Black Star (Commander),Order of La Solidaridad (Panama),Order of Leopold,Order of Saints Maurice and Lazarus,Order of St Michael and St George,Order of Wen Hu,Order of the Bath,Order of the Crown,Order of the Dragon of Annam,Order of the Rising Sun,Order of the Star of Africa,Philippine Campaign Medal,Philippine Congressional Medal,Public Welfare Medal,Purple Heart,Silver Star,Spanish Campaign Medal,Spanish War Service Medal,War Merit Cross,World War I Victory Medal,Number of Years Served,average_rating,n_valid_ratings
Sherwood Alfred Cheney,Brigadier General,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,4.944444444444445,90
Harvey C. Clark,Major General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,4.802469135802469,81
John Clem,Major General,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,4.8604651162790695,86
Charles Maxwell Clement,Major General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.0,4.114583333333333,96
Frank W. Coe,Major General,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,4.955882352941177,68
William Edward Cole,Major General,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,5.130434782608695,92
Edgar T. Collins,Major General,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,4.070588235294117,85
Fox Conner,Major General,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,40.0,4.034883720930233,86
William Durward Connor,Major General,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41.0,5.4935064935064934,77
Casper H. Conrad Jr.,Brigadier General,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.0,4.843373493975903,83
Richard Coulter Jr.,Brigadier General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,4.287356321839081,87
Louis Chapin Covell,Brigadier General,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,5.038961038961039,77
Malin Craig,General,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,5.2823529411764705,85
George Oscar Cress,Brigadier General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,4.929577464788732,71
Marcus Daniel Cronin,Brigadier General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,4.9125,80
Herbert B. Crosby,Major General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,4.177083333333333,96
William M. Cruikshank,Brigadier General,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,5.0843373493975905,83
Thomas Cruse,Brigadier General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,4.6477272727272725,88
Albert Clayton Dalton,Brigadier General,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.0,4.0,87
Thomas Darrah,Brigadier General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0,5.322033898305085,59
